Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
POMT2	14q24.3	8.26	8.25	0.52	0.51	0.01	0.932	0.977	(A) Asian
BBS5	2q31.1	6.56	6.55	1.11	0.92	0.01	0.932	0.977	(A) Asian
BZW2	7p21.1	11.32	11.33	0.69	0.67	-0.01	0.932	0.977	(B) White
RNF44	5q35.2	10.29	10.30	0.53	0.43	-0.01	0.932	0.977	(B) White
C11ORF24	11q13.2	9.92	9.93	0.62	0.59	-0.01	0.932	0.977	(B) White
LIME1	20q13.33	7.56	7.57	1.23	1.23	-0.01	0.932	0.977	(B) White
INO80	15q15.1	9.88	9.88	0.38	0.41	-0.00	0.932	0.977	(B) White
RCE1	11q13.2	8.54	8.54	0.54	0.59	-0.01	0.933	0.977	(B) White
HOMER1	5q14.1	7.26	7.25	0.98	0.88	0.01	0.933	0.977	(A) Asian
MPND	19p13.3	8.50	8.50	0.47	0.66	0.01	0.933	0.977	(A) Asian
TPT1	13q14.13	15.97	15.98	0.59	0.64	-0.01	0.933	0.978	(B) White
BRD7P3	6q22.31	0.75	0.74	0.98	0.88	0.01	0.933	0.978	(A) Asian
HMBS	11q23.3	8.89	8.90	0.70	0.68	-0.01	0.933	0.978	(B) White
PGAM4	Xq21.1	5.77	5.76	0.68	0.68	0.01	0.933	0.978	(A) Asian
TMIGD2	19p13.3	2.98	2.96	1.29	1.50	0.01	0.934	0.978	(A) Asian
FNDC7	1p13.3	0.42	0.43	0.76	0.68	-0.01	0.934	0.978	(B) White
SPRED1	15q14	10.07	10.07	0.60	0.55	0.01	0.934	0.978	(A) Asian
SDHB	1p36.13	10.77	10.76	0.56	0.56	0.01	0.934	0.978	(A) Asian
TNFAIP6	2q23.3	6.67	6.65	1.79	1.52	0.02	0.934	0.978	(A) Asian
MARVELD3	16q22.2	8.46	8.45	1.21	1.10	0.01	0.934	0.978	(A) Asian
PPP1R13B	14q32.33	9.50	9.49	0.50	0.54	0.01	0.934	0.978	(A) Asian
VWA5A	11q24.2	9.08	9.10	1.11	1.05	-0.01	0.934	0.978	(B) White
GABRR2	6q15	1.61	1.62	1.04	1.15	-0.01	0.934	0.978	(B) White
IP6K1	3p21.31	10.00	10.01	0.39	0.45	-0.00	0.934	0.978	(B) White
BMF	15q15.1	8.81	8.82	1.09	0.95	-0.01	0.934	0.978	(B) White
DDX41	5q35.3	10.10	10.10	0.48	0.42	-0.00	0.934	0.978	(B) White
MRPL28	16p13.3	9.70	9.70	0.54	0.59	-0.01	0.934	0.978	(B) White
PPP2R5A	1q32.3	10.64	10.63	0.42	0.44	0.00	0.934	0.978	(A) Asian
PTTG3P	8q13.1	3.71	3.70	0.84	0.78	0.01	0.935	0.978	(A) Asian
JDP2	14q24.3	8.57	8.57	0.72	0.75	-0.01	0.935	0.978	(B) White
HEY2	6q22.31	5.70	5.69	1.13	0.83	0.01	0.935	0.978	(A) Asian
SAMM50	22q13.31	9.94	9.94	0.45	0.43	-0.00	0.935	0.978	(B) White
BICD1	12p11.21	7.07	7.08	0.75	0.82	-0.01	0.935	0.978	(B) White
PLEC	8q24.3	13.70	13.71	0.66	0.84	-0.01	0.935	0.978	(B) White
RIC8B	12q23.3	8.53	8.53	0.50	0.49	-0.01	0.935	0.978	(B) White
ARHGDIA	17q25.3	12.48	12.48	0.45	0.51	-0.00	0.935	0.978	(B) White
TRABD2A	2p11.2	7.82	7.80	1.90	1.94	0.02	0.935	0.978	(A) Asian
SRP54	14q13.2	10.19	10.19	0.33	0.40	-0.00	0.935	0.978	(B) White
KYNU	2q22.2	7.56	7.58	1.57	1.57	-0.02	0.935	0.978	(B) White
ALPP	2q37.1	3.26	3.23	2.95	2.89	0.03	0.935	0.978	(A) Asian
SMTNL2	17p13.2	3.19	3.17	2.37	2.12	0.02	0.936	0.978	(A) Asian
NPAS1	19q13.32	2.95	2.96	1.34	1.30	-0.01	0.936	0.978	(B) White
VNN3	6q23.2	3.62	3.64	2.03	2.18	-0.02	0.936	0.978	(B) White
FCRLA	1q23.3	4.59	4.57	2.68	2.34	0.03	0.936	0.978	(A) Asian
TMEM240	1p36.33	2.35	2.34	1.51	1.39	0.01	0.936	0.978	(A) Asian
NSF	17q21.31	10.57	10.56	0.60	0.52	0.01	0.936	0.978	(A) Asian
STAT2	12q13.3	11.05	11.05	0.60	0.59	0.01	0.936	0.978	(A) Asian
PRKCE	2p21	7.65	7.66	0.76	0.67	-0.01	0.936	0.978	(B) White
FCSK	16q22.1	8.60	8.59	0.51	0.65	0.01	0.936	0.978	(A) Asian
ARMCX6	Xq22.1	6.62	6.62	0.94	0.93	0.01	0.936	0.978	(A) Asian
GTF3A	13q12.2	11.28	11.29	0.74	0.61	-0.01	0.936	0.978	(B) White
ARHGAP12	10p11.22	10.40	10.41	0.74	0.67	-0.01	0.936	0.978	(B) White
GTF2H3	12q24.31	8.00	8.01	0.67	0.61	-0.01	0.937	0.978	(B) White
LARS2	3p21.31	9.06	9.06	0.59	0.58	-0.01	0.937	0.978	(B) White
KSR1	17q11.2	8.81	8.82	0.85	0.78	-0.01	0.937	0.978	(B) White
ZNF84	12q24.33	8.97	8.96	0.81	0.91	0.01	0.937	0.978	(A) Asian
MFAP3L	4q33	6.39	6.40	1.73	1.55	-0.02	0.937	0.978	(B) White
DBT	1p21.2	9.28	9.29	0.52	0.52	-0.01	0.937	0.978	(B) White
UPK1B	3q13.32	3.81	3.77	3.10	3.25	0.03	0.937	0.978	(A) Asian
FCGR2B	1q23.3	7.09	7.07	1.59	1.54	0.02	0.937	0.978	(A) Asian
PLEKHA8	7p14.3	6.68	6.68	0.58	0.59	0.01	0.937	0.978	(A) Asian
ACR	22q13.33	1.35	1.34	1.09	1.07	0.01	0.937	0.978	(A) Asian
SIM2	21q22.13	8.24	8.23	1.09	1.26	0.01	0.937	0.978	(A) Asian
CETP	16q13	3.92	3.90	1.65	1.58	0.02	0.937	0.978	(A) Asian
SERPINB10	18q22.1	0.32	0.32	0.55	0.76	0.01	0.937	0.978	(A) Asian
ZMYND12	1p34.2	5.05	5.06	1.22	1.13	-0.01	0.937	0.978	(B) White
KRT72	12q13.13	0.65	0.66	0.61	0.77	-0.01	0.937	0.978	(B) White
TREX1	3p21.31	8.15	8.14	0.75	0.73	0.01	0.937	0.978	(A) Asian
ATP1B1	1q24.2	13.42	13.41	1.12	1.03	0.01	0.937	0.978	(A) Asian
ATG101	12q13.13	9.65	9.65	0.51	0.50	-0.01	0.937	0.978	(B) White
ARC	8q24.3	3.03	3.05	2.01	2.02	-0.02	0.937	0.978	(B) White
ACE2	Xp22.2	6.48	6.45	2.78	2.76	0.03	0.938	0.978	(A) Asian
SLC27A3	1q21.3	8.56	8.57	0.65	0.76	-0.01	0.938	0.978	(B) White
MSL1	17q21.1	10.83	10.82	0.62	0.73	0.01	0.938	0.978	(A) Asian
PIP4K2A	10p12.2	9.74	9.73	0.70	0.65	0.01	0.938	0.978	(A) Asian
CC2D2B	10q24.1	1.85	1.84	1.14	1.08	0.01	0.938	0.979	(A) Asian
CEBPG	19q13.11	10.71	10.71	0.72	0.60	-0.01	0.938	0.979	(B) White
C2CD6	2q33.1	1.82	1.84	1.47	1.36	-0.01	0.938	0.979	(B) White
SPTSSB	3q26.1	6.41	6.43	2.38	2.59	-0.02	0.938	0.979	(B) White
DNAAF5	7p22.3	9.96	9.95	0.52	0.51	0.01	0.938	0.979	(A) Asian
CASC1	12p12.1	2.47	2.45	1.75	1.42	0.02	0.938	0.979	(A) Asian
NGEF	2q37.1	7.49	7.47	1.69	1.53	0.02	0.939	0.979	(A) Asian
TMEM245	9q31.3	10.90	10.91	0.74	0.74	-0.01	0.939	0.979	(B) White
SPAG8	9p13.3	2.93	2.94	1.05	1.00	-0.01	0.939	0.979	(B) White
AFAP1-AS1	4p16.1	6.90	6.86	3.54	3.45	0.03	0.939	0.979	(A) Asian
RNF103	2p11.2	10.34	10.33	0.61	0.57	0.01	0.939	0.979	(A) Asian
CELF5	19p13.3	2.78	2.76	1.66	1.61	0.02	0.939	0.979	(A) Asian
ALPK1	4q25	8.50	8.51	0.92	0.80	-0.01	0.939	0.979	(B) White
MRRF	9q33.2	9.50	9.50	0.57	0.60	-0.01	0.939	0.979	(B) White
SLC25A37	8p21.2	9.23	9.23	0.76	0.70	0.01	0.939	0.979	(A) Asian
NPHP4	1p36.31	8.13	8.13	0.72	0.76	-0.01	0.939	0.979	(B) White
KIAA0087	7p15.2	0.73	0.72	1.03	0.98	0.01	0.939	0.979	(A) Asian
TTI1	20q11.23	9.49	9.48	0.56	0.58	0.01	0.939	0.979	(A) Asian
TRNP1	1p36.11	9.49	9.47	2.04	1.63	0.02	0.939	0.979	(A) Asian
HLA-DMA	6p21.32	10.49	10.48	1.35	1.33	0.01	0.940	0.979	(A) Asian
ADGRF5	6p12.3	9.56	9.57	0.94	0.89	-0.01	0.940	0.979	(B) White
ANXA10	4q32.3	7.39	7.35	3.99	3.61	0.04	0.940	0.979	(A) Asian
AIFM2	10q22.1	9.37	9.36	0.77	0.73	0.01	0.940	0.979	(A) Asian
INE2	Xp22.2	1.61	1.63	1.47	1.43	-0.01	0.940	0.979	(B) White
SMG5	1q22	11.21	11.22	0.54	0.49	-0.00	0.940	0.979	(B) White
CENPBD1	16q24.3	7.65	7.64	0.81	0.69	0.01	0.940	0.979	(A) Asian
NAGPA	16p13.3	8.33	8.33	0.55	0.56	-0.01	0.940	0.979	(B) White
CAPNS1	19q13.12	12.47	12.47	0.51	0.55	0.00	0.940	0.979	(A) Asian
TSPAN15	10q22.1	10.88	10.89	0.77	0.79	-0.01	0.940	0.979	(B) White
SOX9	17q24.3	11.70	11.69	1.06	0.95	0.01	0.940	0.979	(A) Asian
MON2	12q14.1	9.82	9.82	0.54	0.58	0.01	0.940	0.979	(A) Asian
SCAP	3p21.31	10.68	10.68	0.51	0.46	-0.00	0.940	0.979	(B) White
PYHIN1	1q23.1	5.22	5.23	1.68	1.71	-0.02	0.940	0.979	(B) White
TTC5	14q11.2	7.69	7.69	0.46	0.49	0.00	0.940	0.979	(A) Asian
PHB	17q21.33	11.75	11.76	0.54	0.52	-0.01	0.940	0.979	(B) White
STAU1	20q13.13	11.96	11.97	0.38	0.47	-0.00	0.941	0.979	(B) White
BEND4	4p13	3.24	3.22	2.10	1.80	0.02	0.941	0.979	(A) Asian
NDUFA8	9q33.2	9.93	9.93	0.54	0.56	0.01	0.941	0.979	(A) Asian
SNX21	20q13.12	8.23	8.23	0.81	0.79	-0.01	0.941	0.979	(B) White
COX10	17p12	8.45	8.45	0.46	0.48	-0.00	0.941	0.979	(B) White
FAHD2A	2q11.1	8.02	8.03	0.65	0.60	-0.01	0.941	0.979	(B) White
METTL26	16p13.3	9.06	9.06	0.70	0.69	-0.01	0.941	0.979	(B) White
SEPTIN1	16p11.2	7.30	7.28	1.37	1.23	0.01	0.941	0.979	(A) Asian
SLCO4A1-AS1	20q13.33	4.52	4.54	1.91	2.08	-0.02	0.941	0.980	(B) White
LAMTOR4	7q22.1	10.19	10.18	0.74	0.63	0.01	0.942	0.980	(A) Asian
CASKIN1	16p13.3	1.80	1.82	1.79	1.69	-0.02	0.942	0.980	(B) White
FAN1	15q13.3	8.89	8.88	0.56	0.58	0.01	0.942	0.980	(A) Asian
TMEM72	10q11.21	0.64	0.65	1.01	1.06	-0.01	0.942	0.980	(B) White
PRPF4	9q32	9.66	9.65	0.47	0.49	0.00	0.942	0.980	(A) Asian
WDR78	1p31.3	4.62	4.63	1.13	1.16	-0.01	0.942	0.980	(B) White
PNMT	17q12	2.01	1.99	2.06	1.85	0.02	0.942	0.980	(A) Asian
CYP2S1	19q13.2	10.98	10.99	1.43	1.54	-0.01	0.942	0.980	(B) White
ZNF443	19p13.2	6.72	6.73	0.96	1.02	-0.01	0.943	0.981	(B) White
BCAN	1q23.1	5.12	5.14	1.47	1.34	-0.01	0.943	0.981	(B) White
SLC39A3	19p13.3	8.63	8.63	0.43	0.53	-0.00	0.943	0.981	(B) White
AFDN	6q27	11.41	11.41	0.63	0.74	0.01	0.943	0.981	(A) Asian
RMDN1	8q21.3	9.61	9.60	0.48	0.53	0.00	0.943	0.981	(A) Asian
TBC1D10C	11q13.2	6.62	6.60	1.57	1.44	0.01	0.943	0.981	(A) Asian
TMEM44	3q29	8.17	8.18	0.68	0.74	-0.01	0.943	0.981	(B) White
JAM2	21q21.3	6.59	6.58	1.62	1.55	0.01	0.944	0.981	(A) Asian
TMEM74	8q23.1	2.18	2.17	1.42	1.27	0.01	0.944	0.981	(A) Asian
BCAM	19q13.32	10.00	9.98	1.42	1.29	0.01	0.944	0.981	(A) Asian
PGM5P2	9p11.2	1.25	1.25	1.00	1.03	-0.01	0.944	0.981	(B) White
TMEM106C	12q13.11	10.84	10.85	0.72	0.62	-0.01	0.944	0.981	(B) White
PPP2CB	8p12	11.01	11.01	0.60	0.51	-0.01	0.944	0.981	(B) White
ZNF714	19p12	7.53	7.54	1.09	1.09	-0.01	0.944	0.981	(B) White
PROSER1	13q13.3	10.57	10.56	0.66	0.62	0.01	0.944	0.981	(A) Asian
NEURL1B	5q35.1	9.48	9.47	1.20	1.12	0.01	0.944	0.981	(A) Asian
CBLN3	14q12	5.69	5.68	0.89	0.87	0.01	0.944	0.981	(A) Asian
LRRC37BP1	17q11.2	8.47	8.48	0.71	0.46	-0.01	0.944	0.981	(B) White
PDCD4	10q25.2	10.83	10.83	0.92	0.83	-0.01	0.944	0.981	(B) White
NRIP2	12p13.33	6.01	6.01	1.12	1.00	-0.01	0.944	0.981	(B) White
CHERP	19p13.11	10.41	10.41	0.40	0.44	-0.00	0.944	0.981	(B) White
RASA4CP	7p13	6.41	6.40	1.04	1.04	0.01	0.945	0.981	(A) Asian
RPL9	4p14	10.00	10.01	0.90	0.99	-0.01	0.945	0.981	(B) White
NT5C2	10q24.32-q24.33	10.68	10.68	0.47	0.47	0.00	0.945	0.981	(A) Asian
GAS2L1	22q12.2	8.89	8.89	0.78	0.74	0.01	0.945	0.982	(A) Asian
GPR12	13q12.13	0.73	0.74	0.98	1.12	-0.01	0.945	0.982	(B) White
CHGA	14q32.12	4.57	4.60	3.45	3.87	-0.03	0.945	0.982	(B) White
PERP	6q23.3	12.63	12.64	1.11	1.01	-0.01	0.945	0.982	(B) White
B3GNTL1	17q25.3	6.26	6.27	0.72	0.68	-0.01	0.946	0.982	(B) White
WWC2-AS2	4q35.1	2.76	2.77	1.23	1.10	-0.01	0.946	0.982	(B) White
SLC25A21	14q13.3	2.51	2.50	1.93	1.72	0.02	0.946	0.982	(A) Asian
RBM12	20q11.22	10.93	10.94	0.38	0.36	-0.00	0.946	0.982	(B) White
STIL	1p33	9.03	9.02	0.97	1.00	0.01	0.946	0.982	(A) Asian
ZDHHC19	3q29	0.72	0.72	0.97	0.89	0.01	0.946	0.982	(A) Asian
RRM2B	8q22.3	9.79	9.78	0.71	0.60	0.01	0.946	0.982	(A) Asian
ZNF792	19q13.11	7.48	7.48	0.64	0.65	-0.01	0.946	0.982	(B) White
TMSB15B	Xq22.2	4.86	4.85	1.30	1.31	0.01	0.947	0.982	(A) Asian
MTHFR	1p36.22	9.43	9.42	0.64	0.64	0.01	0.947	0.982	(A) Asian
HECA	6q24.1	10.15	10.16	0.51	0.56	-0.00	0.947	0.982	(B) White
TACSTD2	1p32.1	10.72	10.70	2.37	2.38	0.02	0.947	0.982	(A) Asian
FAM221B	9p13.3	1.09	1.10	1.16	1.07	-0.01	0.947	0.982	(B) White
NEXN	1p31.1	8.96	8.95	1.82	1.64	0.01	0.947	0.982	(A) Asian
ANKRD9	14q32.31	7.33	7.32	0.73	0.66	0.01	0.947	0.983	(A) Asian
RNF227	17p13.1	6.32	6.32	0.70	0.64	-0.01	0.947	0.983	(B) White
ARMCX5	Xq22.1	8.35	8.35	0.59	0.60	0.00	0.947	0.983	(A) Asian
ABHD14A	3p21.2	7.66	7.67	0.67	0.73	-0.01	0.948	0.983	(B) White
PHC3	3q26.2	10.66	10.67	0.49	0.63	-0.00	0.948	0.983	(B) White
NPAS2	2q11.2	9.90	9.89	0.87	0.93	0.01	0.948	0.983	(A) Asian
TXNDC15	5q31.1	9.75	9.75	0.56	0.52	0.00	0.948	0.983	(A) Asian
TLE6	19p13.3	3.83	3.84	1.57	1.53	-0.01	0.948	0.983	(B) White
WFIKKN2	17q21.33	1.70	1.68	1.41	1.35	0.01	0.948	0.983	(A) Asian
NECAB3	20q11.22	8.35	8.35	0.68	0.69	0.01	0.948	0.983	(A) Asian
OXCT2	1p34.2	2.77	2.78	1.01	1.01	-0.01	0.948	0.983	(B) White
SLC25A11	17p13.2	9.78	9.77	0.48	0.45	0.00	0.948	0.983	(A) Asian
HIST2H4A	1q21.2	7.52	7.54	1.34	1.21	-0.01	0.949	0.983	(B) White
EBP	Xp11.23	10.01	10.01	0.94	0.87	0.01	0.949	0.983	(A) Asian
ATP2C1	3q22.1	11.48	11.48	0.47	0.54	-0.00	0.949	0.983	(B) White
CFAP57	1p34.2	1.23	1.24	1.12	1.04	-0.01	0.949	0.983	(B) White
LONRF2	2q11.2	5.66	5.68	2.49	2.47	-0.02	0.949	0.983	(B) White
RPSAP58	19p12	13.11	13.10	0.58	0.62	0.00	0.949	0.983	(A) Asian
AADAT	4q33	5.95	5.93	1.65	1.40	0.01	0.949	0.983	(A) Asian
RAD21	8q24.11	12.57	12.57	0.57	0.54	0.00	0.949	0.983	(A) Asian
TIGD2	4q22.1	7.34	7.34	0.59	0.59	-0.00	0.949	0.983	(B) White
LRRC47	1p36.32	10.14	10.14	0.36	0.40	0.00	0.949	0.983	(A) Asian
ZBTB48	1p36.31	8.01	8.02	0.47	0.47	-0.00	0.949	0.983	(B) White
TMEM205	19p13.2	10.07	10.07	0.75	0.65	0.01	0.949	0.983	(A) Asian
ABHD1	2p23.3	2.26	2.25	1.29	1.35	0.01	0.949	0.983	(A) Asian
MYCN	2p24.3	5.42	5.41	1.96	1.90	0.02	0.949	0.983	(A) Asian
SLC5A6	2p23.3	9.98	9.98	0.78	0.77	0.01	0.949	0.983	(A) Asian
GLOD4	17p13.3	10.36	10.36	0.43	0.50	0.00	0.949	0.983	(A) Asian
SPG7	16q24.3	10.05	10.06	0.45	0.45	-0.00	0.950	0.983	(B) White
ZNF85	19p12	5.83	5.84	1.32	1.13	-0.01	0.950	0.983	(B) White
GON4L	1q22	9.79	9.79	0.45	0.49	-0.00	0.950	0.983	(B) White
CYSRT1	9q34.3	3.36	3.37	1.65	2.00	-0.01	0.950	0.983	(B) White
RERE	1p36.23	11.32	11.33	0.58	0.69	-0.00	0.950	0.983	(B) White
ACADS	12q24.31	9.13	9.14	0.83	0.84	-0.01	0.950	0.983	(B) White
NIPAL3	1p36.11	9.62	9.63	0.55	0.62	-0.00	0.950	0.983	(B) White
ACSL6	5q31.1	3.07	3.09	2.07	1.87	-0.02	0.950	0.983	(B) White
PUM2	2p24.1	11.66	11.65	0.34	0.37	0.00	0.950	0.983	(A) Asian
FYB1	5p13.1	9.26	9.27	1.30	1.20	-0.01	0.950	0.983	(B) White
SNHG32	6p21.33	10.31	10.30	0.76	0.80	0.01	0.950	0.983	(A) Asian
NF1	17q11.2	10.82	10.82	0.49	0.55	-0.00	0.950	0.983	(B) White
UCA1	19p13.12	5.58	5.61	2.88	2.88	-0.02	0.950	0.983	(B) White
PRKDC	8q11.21	12.37	12.38	0.69	0.66	-0.01	0.950	0.983	(B) White
RNF157	17q25.1	7.48	7.47	1.70	1.58	0.01	0.950	0.983	(A) Asian
PSMB4	1q21.3	11.83	11.83	0.60	0.51	0.00	0.950	0.984	(A) Asian
ARL3	10q24.32	8.59	8.59	0.56	0.51	-0.00	0.951	0.984	(B) White
TIMM10B	11p15.4	9.65	9.65	0.45	0.43	0.00	0.951	0.984	(A) Asian
DPP9	19p13.3	10.62	10.62	0.37	0.38	-0.00	0.951	0.984	(B) White
ACOT1	14q24.3	8.05	8.04	1.12	1.58	0.01	0.951	0.984	(A) Asian
PTPA	9q34.11	11.45	11.45	0.49	0.52	-0.00	0.951	0.984	(B) White
COPZ1	12q13.13	11.82	11.82	0.49	0.43	0.00	0.951	0.984	(A) Asian
MUC4	3q29	8.28	8.26	3.27	3.36	0.03	0.951	0.984	(A) Asian
GALNT14	2p23.1	4.55	4.53	2.61	2.39	0.02	0.951	0.984	(A) Asian
PDGFB	22q13.1	8.54	8.55	0.96	0.81	-0.01	0.951	0.984	(B) White
SMPD2	6q21	8.23	8.23	0.71	0.65	-0.01	0.951	0.984	(B) White
UBAC1	9q34.3	9.64	9.64	0.36	0.45	0.00	0.951	0.984	(A) Asian
PRKACB	1p31.1	9.60	9.61	1.25	1.05	-0.01	0.951	0.984	(B) White
GLCCI1	7p21.3	8.25	8.26	0.96	0.89	-0.01	0.952	0.984	(B) White
ZFAND1	8q21.13	9.57	9.57	0.52	0.53	0.00	0.952	0.984	(A) Asian
MFNG	22q13.1	7.58	7.59	1.28	0.99	-0.01	0.952	0.984	(B) White
PROKR1	2p13.3	0.40	0.39	0.75	0.70	0.01	0.952	0.984	(A) Asian
RNF6	13q12.13	10.33	10.33	0.50	0.49	0.00	0.952	0.984	(A) Asian
PKNOX1	21q22.3	8.68	8.68	0.38	0.41	0.00	0.952	0.984	(A) Asian
METTL21C	13q33.1	0.17	0.17	0.39	0.40	-0.00	0.952	0.984	(B) White
MFSD8	4q28.2	8.13	8.13	0.44	0.55	0.00	0.952	0.984	(A) Asian
CDHR3	7q22.3	5.34	5.32	1.46	1.47	0.01	0.953	0.984	(A) Asian
SERPINB6	6p25.2	11.70	11.70	0.80	0.71	0.01	0.953	0.984	(A) Asian
EPX	17q22	0.84	0.83	0.84	0.75	0.01	0.953	0.984	(A) Asian
MOV10L1	22q13.33	2.70	2.69	1.41	1.39	0.01	0.953	0.985	(A) Asian
MYH15	3q13.13	3.43	3.44	1.42	1.35	-0.01	0.953	0.985	(B) White
KCNK12	2p16.3	1.90	1.89	1.46	1.28	0.01	0.953	0.985	(A) Asian
FRG2C	3p12.3	0.73	0.74	1.03	1.15	-0.01	0.953	0.985	(B) White
SLC35D2	9q22.32	9.68	9.68	0.83	0.61	-0.01	0.953	0.985	(B) White
PCBP4	3p21.2	8.84	8.83	0.69	0.65	0.00	0.953	0.985	(A) Asian
RRH	4q25	1.25	1.24	0.94	0.89	0.01	0.953	0.985	(A) Asian
DUS2	16q22.1	7.68	7.67	0.54	0.53	0.00	0.953	0.985	(A) Asian
INO80D	2q33.3	9.27	9.27	0.53	0.51	-0.00	0.954	0.985	(B) White
TBC1D32	6q22.31	6.53	6.52	0.89	1.00	0.01	0.954	0.985	(A) Asian
ALG12	22q13.33	8.95	8.95	0.51	0.50	-0.00	0.954	0.985	(B) White
SCG3	15q21.2	3.27	3.29	2.37	2.61	-0.02	0.954	0.985	(B) White
MT2A	16q13	10.28	10.29	1.25	1.28	-0.01	0.954	0.985	(B) White
TNFRSF14	1p36.32	10.23	10.23	0.65	0.80	-0.00	0.954	0.985	(B) White
IL27RA	19p13.12	8.30	8.29	0.99	0.93	0.01	0.954	0.985	(A) Asian
MIR600HG	9q33.3	6.27	6.28	1.09	1.18	-0.01	0.954	0.985	(B) White
GLI4	8q24.3	6.55	6.56	0.74	0.76	-0.01	0.954	0.985	(B) White
NRL	14q11.2-q12	4.11	4.10	0.60	0.59	0.00	0.954	0.985	(A) Asian
IDH3G	Xq28	10.22	10.23	0.60	0.57	-0.00	0.954	0.985	(B) White
N4BP2L1	13q13.1	7.57	7.58	1.07	0.90	-0.01	0.955	0.985	(B) White
ALG3	3q27.1	10.23	10.23	0.67	0.64	0.00	0.955	0.985	(A) Asian
FAM86EP	4p16.3	5.55	5.55	0.66	0.65	-0.00	0.955	0.985	(B) White
ZC3H11A	1q32.1	11.71	11.70	0.38	0.44	0.00	0.955	0.985	(A) Asian
CLTB	5q35.2	11.14	11.14	0.77	0.81	-0.01	0.955	0.985	(B) White
STAG3	7q22.1	4.62	4.60	2.02	1.64	0.01	0.955	0.985	(A) Asian
ZNF559	19p13.2	7.43	7.42	1.37	1.10	0.01	0.955	0.985	(A) Asian
PLXND1	3q22.1	10.89	10.90	0.96	0.84	-0.01	0.955	0.986	(B) White
CCDC155	19q13.33	1.09	1.10	1.17	1.19	-0.01	0.956	0.986	(B) White
VPS33B	15q26.1	8.50	8.50	0.38	0.46	-0.00	0.956	0.986	(B) White
STK3	8q22.2	8.97	8.97	0.56	0.49	-0.00	0.956	0.986	(B) White
MIPEP	13q12.12	9.03	9.04	0.71	0.64	-0.00	0.956	0.986	(B) White
GRAMD1B	11q24.1	6.54	6.55	1.76	1.87	-0.01	0.956	0.986	(B) White
INTS3	1q21.3	10.71	10.71	0.47	0.47	-0.00	0.956	0.986	(B) White
ZFP3	17p13.2	7.25	7.24	1.38	1.28	0.01	0.957	0.986	(A) Asian
MCRS1	12q13.12	9.93	9.93	0.47	0.41	0.00	0.957	0.986	(A) Asian
ATG4B	2q37.3	9.79	9.79	0.43	0.35	0.00	0.957	0.986	(A) Asian
CABP7	22q12.2	2.74	2.74	0.99	1.09	0.01	0.957	0.986	(A) Asian
KMT2B	19q13.12	10.44	10.43	0.53	0.59	0.00	0.957	0.986	(A) Asian
B4GAT1	11q13.2	8.90	8.91	0.64	0.70	-0.00	0.957	0.986	(B) White
RASAL1	12q24.13	7.39	7.40	2.18	2.14	-0.01	0.957	0.986	(B) White
LMX1B	9q33.3	3.24	3.22	2.58	2.49	0.02	0.957	0.986	(A) Asian
SHANK1	19q13.33	1.89	1.90	1.71	1.38	-0.01	0.957	0.986	(B) White
UBE4A	11q23.3	10.68	10.68	0.49	0.51	-0.00	0.957	0.986	(B) White
EIF2AK4	15q15.1	9.86	9.85	0.41	0.46	0.00	0.957	0.986	(A) Asian
CDC6	17q21.2	9.42	9.41	1.23	1.40	0.01	0.957	0.986	(A) Asian
LMAN1	18q21.32	11.56	11.56	0.63	0.73	0.00	0.957	0.986	(A) Asian
UBA52	19p13.11	13.06	13.07	0.59	0.64	-0.00	0.957	0.986	(B) White
STARD7-AS1	2q11.2	5.10	5.10	0.55	0.57	-0.00	0.957	0.986	(B) White
DNAH1	3p21.1	7.33	7.32	1.17	1.21	0.01	0.957	0.986	(A) Asian
LY75	2q24.2	10.02	10.03	1.07	1.08	-0.01	0.958	0.986	(B) White
STX1A	7q11.23	7.19	7.18	1.07	1.12	0.01	0.958	0.986	(A) Asian
ORAI2	7q22.1	9.22	9.21	1.07	0.85	0.01	0.958	0.986	(A) Asian
CPNE6	14q11.2	1.71	1.73	1.83	1.92	-0.01	0.958	0.986	(B) White
R3HCC1	8p21.3	9.06	9.07	0.57	0.57	-0.00	0.958	0.986	(B) White
CXCL6	4q13.3	5.87	5.86	2.43	2.41	0.02	0.958	0.987	(A) Asian
CINP	14q32.31	8.40	8.40	0.40	0.46	-0.00	0.958	0.987	(B) White
ZRANB1	10q26.13	9.70	9.70	0.49	0.49	-0.00	0.958	0.987	(B) White
GFOD1	6p23	3.15	3.16	0.98	0.99	-0.01	0.959	0.987	(B) White
ZNF300	5q33.1	5.94	5.95	1.68	1.50	-0.01	0.959	0.987	(B) White
RFPL2	22q12.3	1.84	1.85	1.25	1.42	-0.01	0.959	0.987	(B) White
IRAK4	12q12	8.95	8.95	0.46	0.50	0.00	0.959	0.987	(A) Asian
HELZ2	20q13.33	11.05	11.04	0.86	0.94	0.01	0.959	0.987	(A) Asian
SEMA5B	3q21.1	4.95	4.94	1.51	1.22	0.01	0.959	0.987	(A) Asian
PGF	14q24.3	7.36	7.36	1.17	0.94	-0.01	0.959	0.987	(B) White
RAC3	17q25.3	6.43	6.42	1.50	1.50	0.01	0.959	0.987	(A) Asian
