Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
PARP12	7q34	9.53	9.53	0.41	0.47	-0.01	0.936	0.990	(B) White
ZNF117	7q11.21	9.43	9.42	0.61	0.61	0.01	0.936	0.990	(A) Asian
CXORF21	Xp21.2	4.65	4.64	1.21	1.30	0.01	0.936	0.990	(A) Asian
INSRR	1q23.1	0.58	0.60	1.24	0.80	-0.01	0.936	0.990	(B) White
BDH1	3q29	8.95	8.96	0.63	0.63	-0.01	0.936	0.990	(B) White
USP9Y	Yq11.221	2.57	2.52	4.15	4.12	0.05	0.936	0.990	(A) Asian
GGA2	16p12.2	11.92	11.92	0.44	0.45	0.01	0.936	0.990	(A) Asian
TOPAZ1	3p21.31	0.01	0.01	0.06	0.07	-0.00	0.936	0.990	(B) White
MBIP	14q13.3	10.98	10.98	0.48	0.47	0.01	0.936	0.990	(A) Asian
EEF1E1	6p24.3	7.87	7.87	0.30	0.30	0.00	0.936	0.990	(A) Asian
SMUG1	12q13.13	8.89	8.89	0.36	0.40	-0.00	0.937	0.990	(B) White
OCLM	1q31.1	1.46	1.47	0.76	0.80	-0.01	0.937	0.990	(B) White
BLOC1S1	12q13.2	10.54	10.53	0.60	0.63	0.01	0.937	0.990	(A) Asian
ZNF709	19p13.2	7.13	7.14	0.35	0.52	-0.00	0.937	0.990	(B) White
ASF1B	19p13.12	7.12	7.13	0.81	0.95	-0.01	0.937	0.991	(B) White
LRRFIP1	2q37.3	11.09	11.09	0.44	0.37	-0.01	0.937	0.991	(B) White
OR10A2	11p15.4	0.05	0.05	0.14	0.16	0.00	0.937	0.991	(A) Asian
GADD45GIP1	19p13.13	10.07	10.07	0.73	0.75	-0.01	0.937	0.991	(B) White
ERBB3	12q13.2	10.38	10.36	1.39	1.29	0.02	0.937	0.991	(A) Asian
ERICH6	3q25.1	1.06	1.06	0.68	0.61	0.01	0.937	0.991	(A) Asian
TFAP2B	6p12.3	0.07	0.07	0.24	0.20	0.00	0.937	0.991	(A) Asian
NUP160	11p11.2	9.98	9.97	0.41	0.38	0.00	0.937	0.991	(A) Asian
SELENOV	19q13.2	3.00	3.02	1.89	2.42	-0.02	0.938	0.991	(B) White
ROPN1	3q21.1	1.16	1.15	0.79	0.87	0.01	0.938	0.991	(A) Asian
LIM2	19q13.41	0.13	0.13	0.36	0.33	0.00	0.938	0.991	(A) Asian
SART3	12q23.3	10.34	10.34	0.22	0.26	-0.00	0.938	0.991	(B) White
TMEM192	4q32.3	9.45	9.46	0.49	0.45	-0.01	0.938	0.991	(B) White
CPA2	7q32.2	0.46	0.47	0.53	0.70	-0.01	0.938	0.991	(B) White
TEDDM1	1q25.3	0.57	0.58	0.55	0.70	-0.01	0.938	0.991	(B) White
WBP1	2p13.1	11.36	11.35	0.41	0.45	0.00	0.938	0.991	(A) Asian
RAB22A	20q13.32	10.26	10.26	0.19	0.24	-0.00	0.938	0.991	(B) White
C9ORF57	9q21.13	0.06	0.06	0.20	0.22	-0.00	0.938	0.991	(B) White
ACAP3	1p36.33	8.99	9.00	0.52	0.49	-0.01	0.938	0.991	(B) White
SMPD2	6q21	8.05	8.05	0.38	0.39	-0.00	0.938	0.991	(B) White
OR51E2	11p15.4	1.82	1.80	1.21	1.15	0.01	0.938	0.991	(A) Asian
OPN3	1q43	8.96	8.97	0.53	0.53	-0.01	0.938	0.991	(B) White
PPM1N	19q13.32	3.60	3.61	1.29	1.39	-0.02	0.938	0.991	(B) White
MRPL11	11q13.2	9.11	9.11	0.38	0.39	0.00	0.938	0.991	(A) Asian
EDC3	15q24.1	9.54	9.54	0.21	0.23	-0.00	0.938	0.991	(B) White
TRAPPC2B	19q13.43	7.25	7.24	0.39	0.42	0.00	0.939	0.991	(A) Asian
VPS50	7q21.2-q21.3	8.57	8.56	0.43	0.39	0.01	0.939	0.991	(A) Asian
TRAF7	16p13.3	10.91	10.90	0.29	0.27	0.00	0.939	0.991	(A) Asian
CFAP45	1q23.2	3.27	3.28	1.21	1.08	-0.01	0.939	0.991	(B) White
CSNK1G2-AS1	19p13.3	0.15	0.16	0.28	0.28	-0.00	0.939	0.991	(B) White
EIF4G3	1p36.12	11.07	11.08	0.39	0.40	-0.00	0.939	0.991	(B) White
NEUROD6	7p14.3	0.01	0.01	0.05	0.07	-0.00	0.939	0.991	(B) White
ARPC1B	7q22.1	11.53	11.53	0.43	0.57	-0.01	0.939	0.991	(B) White
ZFP42	4q35.2	0.47	0.46	0.83	0.99	0.01	0.939	0.991	(A) Asian
LRRC4B	19q13.33	4.78	4.79	0.95	1.15	-0.01	0.939	0.991	(B) White
AP2S1	19q13.32	9.88	9.88	0.46	0.50	0.01	0.939	0.991	(A) Asian
CDPF1	22q13.31	7.51	7.50	0.43	0.51	0.01	0.939	0.991	(A) Asian
ZKSCAN2	16p12.1	7.80	7.81	0.26	0.37	-0.00	0.939	0.991	(B) White
HNRNPLL	2p22.1	9.53	9.54	0.37	0.34	-0.00	0.939	0.991	(B) White
ZNF691	1p34.2	8.23	8.23	0.38	0.39	0.00	0.939	0.991	(A) Asian
TMEM219	16p11.2	11.34	11.34	0.44	0.51	0.01	0.939	0.991	(A) Asian
ABRAXAS1	4q21.23	7.98	7.97	0.49	0.50	0.01	0.939	0.991	(A) Asian
ZNF695	1q44	2.19	2.18	0.65	0.77	0.01	0.939	0.991	(A) Asian
TKFC	11q12.2	10.00	10.01	0.24	0.34	-0.00	0.939	0.991	(B) White
UBE2I	16p13.3	11.12	11.12	0.26	0.29	0.00	0.940	0.991	(A) Asian
TMPRSS9	19p13.3	0.91	0.92	0.57	0.68	-0.01	0.940	0.991	(B) White
CD300LD	17q25.1	0.03	0.03	0.13	0.13	0.00	0.940	0.991	(A) Asian
CCNB2	15q22.2	5.87	5.88	0.86	0.85	-0.01	0.940	0.991	(B) White
MSX2	5q35.2	3.42	3.41	1.19	1.24	0.01	0.940	0.991	(A) Asian
UGT1A1	2q37.1	0.11	0.10	0.52	0.39	0.01	0.940	0.991	(A) Asian
ADAM33	20p13	4.68	4.69	1.54	1.46	-0.02	0.940	0.991	(B) White
APAF1	12q23.1	8.68	8.67	0.42	0.50	0.00	0.940	0.991	(A) Asian
SLC39A3	19p13.3	8.83	8.84	0.46	0.44	-0.01	0.940	0.991	(B) White
WNT6	2q35	1.87	1.86	1.03	1.10	0.01	0.940	0.991	(A) Asian
LINC00667	18p11.31	9.05	9.05	0.36	0.35	-0.00	0.940	0.991	(B) White
ABCA13	7p12.3	6.27	6.26	1.59	1.63	0.02	0.940	0.991	(A) Asian
FOS	14q24.3	13.17	13.15	1.81	1.61	0.02	0.941	0.991	(A) Asian
SMC5	9q21.12	9.73	9.74	0.41	0.42	-0.00	0.941	0.991	(B) White
MZT2B	2q21.1	10.88	10.89	0.76	0.78	-0.01	0.941	0.991	(B) White
SBF2	11p15.4	10.20	10.21	0.66	0.56	-0.01	0.941	0.991	(B) White
BIN2	12q13.13	6.52	6.51	1.21	1.38	0.01	0.941	0.991	(A) Asian
POLR2A	17p13.1	12.56	12.56	0.41	0.45	-0.00	0.941	0.991	(B) White
WFS1	4p16.1	10.42	10.43	0.51	0.74	-0.01	0.941	0.991	(B) White
SS18	18q11.2	11.01	11.01	0.19	0.21	0.00	0.941	0.991	(A) Asian
NNT	5p12	10.26	10.27	0.73	0.61	-0.01	0.941	0.991	(B) White
SYCE2	19p13.13	2.29	2.30	0.68	0.79	-0.01	0.941	0.991	(B) White
CNNM2	10q24.32	8.06	8.06	0.40	0.45	-0.00	0.941	0.991	(B) White
UGT2A3	4q13.2	0.18	0.17	0.59	0.53	0.01	0.941	0.991	(A) Asian
RPS6KA6	Xq21.1	5.24	5.22	1.30	1.39	0.01	0.941	0.991	(A) Asian
TSPAN17	5q35.2	9.50	9.49	0.30	0.34	0.00	0.941	0.991	(A) Asian
ICE1	5p15.32	9.66	9.66	0.40	0.44	-0.00	0.941	0.991	(B) White
ANKRD9	14q32.31	5.28	5.27	0.99	1.07	0.01	0.941	0.991	(A) Asian
EBP	Xp11.23	9.14	9.14	0.51	0.46	-0.01	0.941	0.991	(B) White
SLAMF8	1q23.2	7.39	7.40	1.28	1.52	-0.01	0.941	0.991	(B) White
ATP5MC3	2q31.1	11.36	11.36	0.41	0.42	-0.00	0.941	0.991	(B) White
S100A6	1q21.3	15.19	15.18	0.92	1.18	0.01	0.941	0.991	(A) Asian
S100P	4p16.1	1.56	1.57	0.93	1.07	-0.01	0.941	0.991	(B) White
MRPS6	21q22.11	10.93	10.93	0.46	0.51	0.01	0.941	0.991	(A) Asian
GIMAP5	7q36.1	8.82	8.81	0.76	0.91	0.01	0.941	0.991	(A) Asian
SH2D4B	10q23.1	1.51	1.50	0.82	0.98	0.01	0.942	0.991	(A) Asian
SESN1	6q21	10.27	10.28	0.39	0.42	-0.00	0.942	0.991	(B) White
ADAM19	5q33.3	6.86	6.87	1.13	1.30	-0.01	0.942	0.991	(B) White
ARHGEF3	3p14.3	9.20	9.19	0.55	0.52	0.01	0.942	0.991	(A) Asian
TCTEX1D4	1p34.1	3.15	3.13	0.95	0.99	0.01	0.942	0.991	(A) Asian
PHF21B	22q13.31	4.00	4.02	1.94	1.80	-0.02	0.942	0.991	(B) White
DMRTA2	1p32.3	0.47	0.48	0.49	0.54	-0.01	0.942	0.991	(B) White
TP53RK	20q13.12	8.87	8.87	0.20	0.23	-0.00	0.942	0.991	(B) White
PLEKHG2	19q13.2	9.66	9.65	0.82	0.77	0.01	0.942	0.991	(A) Asian
BBC3	19q13.32	8.26	8.27	0.76	0.74	-0.01	0.942	0.991	(B) White
PRDM2	1p36.21	10.42	10.42	0.46	0.43	0.00	0.942	0.991	(A) Asian
FCGR1CP	1q21.1	4.08	4.06	1.15	1.25	0.01	0.942	0.991	(A) Asian
POLR2K	8q22.2	9.62	9.63	0.27	0.29	-0.00	0.942	0.991	(B) White
IMP3	15q24.2	10.12	10.12	0.36	0.37	0.00	0.942	0.991	(A) Asian
SAMD12	8q24.11-q24.12	9.75	9.76	0.30	0.44	-0.00	0.942	0.991	(B) White
KXD1	19p13.11	10.44	10.44	0.25	0.28	-0.00	0.942	0.991	(B) White
SPAG11B	8p23.1	0.49	0.50	1.14	1.19	-0.01	0.943	0.991	(B) White
MTHFD2L	4q13.3	8.48	8.47	0.36	0.46	0.00	0.943	0.991	(A) Asian
PEBP1	12q24.23	14.31	14.30	0.38	0.49	0.00	0.943	0.991	(A) Asian
SLCO1A2	12p12.1	0.32	0.32	0.76	0.68	0.01	0.943	0.991	(A) Asian
C9ORF78	9q34.11	10.75	10.74	0.23	0.30	0.00	0.943	0.991	(A) Asian
ARL13B	3q11.1-q11.2	9.03	9.02	0.66	0.70	0.01	0.943	0.991	(A) Asian
ZNF33A	10p11.1	10.06	10.06	0.33	0.33	-0.00	0.943	0.991	(B) White
POLRMT	19p13.3	9.74	9.73	0.30	0.39	0.00	0.943	0.991	(A) Asian
GOPC	6q22.1	10.10	10.11	0.36	0.36	-0.00	0.943	0.991	(B) White
RAB25	1q22	10.99	10.98	0.40	0.51	0.00	0.943	0.991	(A) Asian
MBOAT2	2p25.1	9.09	9.10	0.63	1.04	-0.01	0.943	0.991	(B) White
CDH6	5p13.3	8.61	8.60	1.18	1.45	0.01	0.943	0.991	(A) Asian
ELOVL1	1p34.2	10.84	10.84	0.30	0.42	0.00	0.943	0.991	(A) Asian
WBP4	13q14.11	8.48	8.48	0.28	0.26	0.00	0.943	0.991	(A) Asian
ZCWPW1	7q22.1	7.39	7.38	0.41	0.54	0.00	0.943	0.991	(A) Asian
BCL2L14	12p13.2	1.46	1.47	1.12	1.23	-0.01	0.943	0.991	(B) White
CCDC106	19q13.42	9.08	9.08	0.45	0.49	-0.00	0.943	0.992	(B) White
INTS1	7p22.3	11.28	11.28	0.26	0.34	-0.00	0.943	0.992	(B) White
MYO18A	17q11.2	9.77	9.77	0.61	0.63	0.01	0.944	0.992	(A) Asian
LAGE3	Xq28	8.56	8.57	0.63	0.62	-0.01	0.944	0.992	(B) White
GLT8D1	3p21.1	10.61	10.61	0.16	0.29	0.00	0.944	0.992	(A) Asian
TAAR1	6q23.2	0.07	0.07	0.20	0.20	-0.00	0.944	0.992	(B) White
P2RX4	12q24.31	9.21	9.22	0.31	0.41	-0.00	0.944	0.992	(B) White
TMBIM1	2q35	12.73	12.73	0.30	0.34	-0.00	0.944	0.992	(B) White
POLR3C	1q21.1	8.86	8.86	0.30	0.32	-0.00	0.944	0.992	(B) White
MCM5	22q12.3	9.80	9.81	0.50	0.51	-0.01	0.944	0.992	(B) White
SRM	1p36.22	9.50	9.50	0.47	0.49	-0.01	0.944	0.992	(B) White
RGS13	1q31.2	1.54	1.52	1.43	1.70	0.02	0.944	0.992	(A) Asian
HBD	-	0.39	0.40	0.65	0.64	-0.01	0.944	0.992	(B) White
FAM177A1	14q13.2	10.38	10.37	0.39	0.45	0.00	0.945	0.992	(A) Asian
DNM1L	12p11.21	10.10	10.10	0.26	0.22	-0.00	0.945	0.992	(B) White
MYL6	12q13.2	13.92	13.92	0.46	0.47	-0.00	0.945	0.992	(B) White
PTPRO	12p12.3|12p13-p12	5.11	5.10	1.08	1.35	0.01	0.945	0.992	(A) Asian
RPLP1	15q23	14.17	14.16	0.58	0.55	0.01	0.945	0.992	(A) Asian
ADRM1	20q13.33	10.69	10.68	0.38	0.40	0.00	0.945	0.992	(A) Asian
INSC	11p15.2	2.06	2.08	1.29	1.41	-0.01	0.945	0.992	(B) White
TMEM132B	12q24.31-q24.32	6.20	6.19	1.02	1.16	0.01	0.945	0.992	(A) Asian
L3MBTL4	18p11.31	6.38	6.37	0.92	1.08	0.01	0.946	0.992	(A) Asian
CPA1	7q32.2	0.25	0.24	0.42	0.66	0.00	0.946	0.992	(A) Asian
CHAF1B	21q22.12-q22.13	6.85	6.85	0.64	0.66	-0.01	0.946	0.992	(B) White
GPR82	Xp11.4	2.61	2.62	0.91	1.19	-0.01	0.946	0.992	(B) White
PTCHD4	6p12.3	8.28	8.27	1.18	1.20	0.01	0.946	0.992	(A) Asian
HELT	4q35.1	0.07	0.07	0.21	0.43	-0.00	0.946	0.992	(B) White
THSD4	15q23	10.32	10.32	0.70	0.72	0.01	0.946	0.992	(A) Asian
C10ORF131	10q24.1	1.87	1.88	0.95	1.05	-0.01	0.946	0.992	(B) White
KCNK10	14q31.3	2.07	2.06	1.08	1.19	0.01	0.946	0.992	(A) Asian
MLYCD	16q23.3	8.18	8.17	0.39	0.43	0.00	0.946	0.992	(A) Asian
OVCH2	11p15.4	0.17	0.16	0.30	0.38	0.00	0.946	0.992	(A) Asian
HSD3B2	1p12	0.39	0.38	0.53	0.48	0.01	0.946	0.992	(A) Asian
CCNJL	5q33.3	7.90	7.89	0.53	0.57	0.01	0.946	0.992	(A) Asian
HNRNPAB	5q35.3	11.07	11.07	0.27	0.33	-0.00	0.946	0.992	(B) White
SP2	17q21.32	9.25	9.25	0.33	0.40	-0.00	0.946	0.992	(B) White
RPSAP58	19p12	12.85	12.86	0.47	0.46	-0.00	0.946	0.992	(B) White
LURAP1	1p34.1	7.47	7.48	0.47	0.58	-0.01	0.946	0.992	(B) White
FGF22	19p13.3	0.26	0.25	0.38	0.38	0.00	0.946	0.993	(A) Asian
CA9	9p13.3	0.89	0.88	1.12	1.35	0.01	0.946	0.993	(A) Asian
KIAA1217	10p12.2-p12.1	12.62	12.61	0.68	0.81	0.01	0.946	0.993	(A) Asian
LTV1	6q24.2	8.78	8.77	0.33	0.30	0.00	0.946	0.993	(A) Asian
ALG1	16p13.3	9.19	9.19	0.28	0.36	0.00	0.947	0.993	(A) Asian
LAPTM4B	8q22.1	10.60	10.60	0.45	0.50	-0.00	0.947	0.993	(B) White
LKAAEAR1	20q13.33	1.38	1.39	1.14	1.21	-0.01	0.947	0.993	(B) White
WNT10A	2q35	6.41	6.43	2.43	2.65	-0.03	0.947	0.993	(B) White
ZBTB45	19q13.43	8.41	8.42	0.31	0.31	-0.00	0.947	0.993	(B) White
ATP6V1G3	1q31.3	0.02	0.02	0.10	0.13	-0.00	0.947	0.993	(B) White
C2ORF73	2p16.2	2.82	2.83	1.05	1.10	-0.01	0.947	0.993	(B) White
TAS1R1	1p36.31	1.33	1.34	1.04	1.18	-0.01	0.947	0.993	(B) White
APH1B	15q22.2	9.82	9.82	0.47	0.45	-0.00	0.947	0.993	(B) White
METTL4	18p11.32	7.73	7.74	0.31	0.27	-0.00	0.947	0.993	(B) White
GHRHR	7p14.3	0.10	0.10	0.55	0.25	0.01	0.947	0.993	(A) Asian
CDCP1	3p21.31	10.40	10.41	0.59	0.88	-0.01	0.947	0.993	(B) White
NUDT15	13q14.2	8.58	8.58	0.35	0.28	0.00	0.947	0.993	(A) Asian
CTU1	19q13.41	5.99	5.98	0.79	0.77	0.01	0.947	0.993	(A) Asian
NAA10	Xq28	9.56	9.57	0.50	0.50	-0.01	0.947	0.993	(B) White
ARL6IP6	2q23.3	8.14	8.13	0.45	0.50	0.00	0.947	0.993	(A) Asian
ABHD6	3p14.3	7.73	7.73	0.51	0.52	0.01	0.947	0.993	(A) Asian
OSER1	20q13.12	9.30	9.30	0.23	0.25	-0.00	0.947	0.993	(B) White
OR2T3	1q44	0.02	0.02	0.09	0.10	0.00	0.947	0.993	(A) Asian
RPS7	2p25.3	12.31	12.30	0.46	0.46	0.00	0.947	0.993	(A) Asian
CCAR2	8p21.3	11.03	11.02	0.16	0.18	0.00	0.948	0.993	(A) Asian
WDR45B	17q25.3	10.64	10.64	0.21	0.24	0.00	0.948	0.993	(A) Asian
SMARCAD1	4q22.3	9.45	9.44	0.43	0.47	0.00	0.948	0.993	(A) Asian
PSMB11	14q11.2	0.17	0.17	0.29	0.33	0.00	0.948	0.993	(A) Asian
TRABD	22q13.33	9.44	9.45	0.51	0.55	-0.01	0.948	0.993	(B) White
PFDN1	5q31.3	10.54	10.55	0.24	0.28	-0.00	0.948	0.993	(B) White
CD164	6q21	13.23	13.23	0.42	0.37	0.00	0.948	0.993	(A) Asian
LOC440896	9p11.2	0.37	0.37	0.41	0.56	-0.00	0.948	0.993	(B) White
DPY19L2P1	7p14.2	2.51	2.50	0.98	0.92	0.01	0.948	0.993	(A) Asian
INA	10q24.33	2.70	2.69	1.13	1.51	0.01	0.948	0.993	(A) Asian
PLEKHG7	12q22	0.52	0.52	0.77	0.82	0.01	0.948	0.993	(A) Asian
XCR1	3p21.31	0.98	0.99	1.07	1.17	-0.01	0.948	0.993	(B) White
TP53INP2	20q11.22	9.91	9.92	0.60	0.70	-0.01	0.948	0.993	(B) White
ATP8A2	13q12.13	3.07	3.08	1.49	1.33	-0.01	0.948	0.993	(B) White
SCAF1	19q13.33	10.89	10.89	0.37	0.32	0.00	0.948	0.993	(A) Asian
TNFSF15	9q32	4.83	4.82	1.42	1.52	0.01	0.948	0.993	(A) Asian
PSMD3	17q21.1	10.93	10.93	0.18	0.20	-0.00	0.948	0.993	(B) White
DEXI	16p13.13	9.72	9.72	0.40	0.41	-0.00	0.948	0.993	(B) White
SHISA7	19q13.42	0.79	0.79	0.62	0.66	-0.01	0.948	0.993	(B) White
TMEM120A	7q11.23	9.41	9.41	0.37	0.40	0.00	0.948	0.993	(A) Asian
TIMM9	14q23.1	8.83	8.83	0.37	0.33	0.00	0.949	0.993	(A) Asian
SLC12A5	20q13.12	2.59	2.58	1.20	1.18	0.01	0.949	0.993	(A) Asian
OR5P2	11p15.4	0.01	0.01	0.07	0.08	-0.00	0.949	0.993	(B) White
ADGRE1	19p13.3-p13.2	2.55	2.56	1.09	1.29	-0.01	0.949	0.993	(B) White
C15ORF32	15q26.1	0.05	0.05	0.18	0.19	-0.00	0.949	0.993	(B) White
ENTPD3	3p22.1	7.26	7.27	1.23	1.20	-0.01	0.949	0.993	(B) White
LOC100130872	4p16.3	3.74	3.73	1.02	1.25	0.01	0.949	0.993	(A) Asian
RACK1	5q35.3	14.46	14.45	0.44	0.41	0.00	0.949	0.993	(A) Asian
CARM1	19p13.2	9.80	9.80	0.32	0.35	-0.00	0.949	0.993	(B) White
ZNF567	19q13.12	7.14	7.14	0.57	0.43	0.01	0.949	0.993	(A) Asian
PLEKHG3	14q23.3	9.89	9.88	0.43	0.55	0.00	0.949	0.993	(A) Asian
PPIL2	22q11.21	10.49	10.48	0.35	0.35	0.00	0.949	0.993	(A) Asian
FSHB	11p14.1	0.01	0.01	0.06	0.08	-0.00	0.949	0.993	(B) White
ANKS4B	16p12.2	0.11	0.11	0.24	0.27	0.00	0.949	0.993	(A) Asian
TMUB1	7q36.1	9.69	9.68	0.49	0.47	0.00	0.949	0.993	(A) Asian
RPL21P44	4q12	1.26	1.27	0.67	0.67	-0.01	0.949	0.993	(B) White
OR5H6	3q11.2	0.02	0.02	0.09	0.15	-0.00	0.949	0.993	(B) White
CPSF4L	17q25.1	0.18	0.17	0.32	0.30	0.00	0.949	0.993	(A) Asian
DEF6	6p21.31	8.08	8.08	0.88	0.86	0.01	0.949	0.993	(A) Asian
HCST	19q13.12	6.47	6.48	1.05	1.29	-0.01	0.949	0.993	(B) White
MAML2	11q21	8.50	8.49	1.08	1.05	0.01	0.950	0.993	(A) Asian
ATP6V1C2	-	6.17	6.16	0.67	0.66	0.01	0.950	0.993	(A) Asian
FAM107A	3p14.3-p14.2	10.06	10.05	0.97	1.23	0.01	0.950	0.993	(A) Asian
TADA2B	4p16.1	9.90	9.90	0.19	0.21	-0.00	0.950	0.993	(B) White
CHRNB4	15q25.1	2.86	2.87	1.52	1.38	-0.01	0.950	0.993	(B) White
ALKBH6	19q13.12	7.05	7.05	0.59	0.59	0.01	0.950	0.993	(A) Asian
APLP1	19q13.12	5.73	5.74	1.20	1.25	-0.01	0.950	0.993	(B) White
TOGARAM1	14q21.2	9.01	9.01	0.48	0.46	-0.00	0.950	0.993	(B) White
ADCY1	7p12.3	7.85	7.84	0.99	1.12	0.01	0.950	0.993	(A) Asian
ZSCAN12P1	6p22.1	4.25	4.26	0.76	0.79	-0.01	0.950	0.993	(B) White
R3HDM4	19p13.3	10.52	10.51	0.40	0.44	0.00	0.950	0.993	(A) Asian
DMRT2	9p24.3	1.25	1.26	0.97	0.94	-0.01	0.950	0.993	(B) White
WAS	Xp11.23	6.79	6.78	1.08	1.31	0.01	0.950	0.993	(A) Asian
C2CD4B	15q22.2	5.20	5.19	1.67	1.97	0.02	0.950	0.993	(A) Asian
COL12A1	6q13-q14.1	8.60	8.59	1.62	1.60	0.02	0.950	0.993	(A) Asian
CSNK2B	6p21.33	11.53	11.53	0.43	0.36	-0.00	0.950	0.993	(B) White
HIST1H2BL	6p22.1	0.35	0.34	0.42	0.48	0.00	0.950	0.993	(A) Asian
CAPN15	16p13.3	9.19	9.18	0.44	0.45	0.00	0.950	0.993	(A) Asian
UBE2V1	20q13.13	11.20	11.19	0.19	0.22	0.00	0.950	0.993	(A) Asian
LMNA	1q22	13.52	13.51	0.55	0.57	0.01	0.951	0.993	(A) Asian
THAP7	22q11.21	8.99	9.00	0.51	0.59	-0.00	0.951	0.993	(B) White
ITGA5	12q13.13	10.29	10.30	0.66	0.62	-0.01	0.951	0.993	(B) White
ABCB4	7q21.12	3.64	3.65	0.92	1.06	-0.01	0.951	0.993	(B) White
IWS1	2q14.3	10.08	10.08	0.22	0.26	-0.00	0.951	0.993	(B) White
CXORF40A	Xq28	8.44	8.44	0.28	0.32	0.00	0.951	0.993	(A) Asian
VNN2	6q23.2	3.83	3.84	1.32	1.49	-0.01	0.951	0.993	(B) White
FKBP1A	20p13	12.22	12.21	0.33	0.44	0.00	0.951	0.993	(A) Asian
CD2BP2	16p11.2	11.12	11.12	0.36	0.35	0.00	0.951	0.993	(A) Asian
ARHGAP25	2p13.3	7.27	7.28	0.89	0.96	-0.01	0.951	0.993	(B) White
CSPP1	8q13.1-q13.2	7.59	7.60	0.51	0.45	-0.00	0.951	0.993	(B) White
DNAJC4	11q13.1	10.04	10.03	0.50	0.49	0.00	0.951	0.993	(A) Asian
NUF2	1q23.3	4.17	4.18	1.18	1.15	-0.01	0.951	0.993	(B) White
PEX10	1p36.32	9.25	9.25	0.32	0.31	0.00	0.952	0.993	(A) Asian
NPAP1	15q11.2	2.64	2.63	1.43	1.62	0.01	0.952	0.993	(A) Asian
TBCEL	11q23.3	8.10	8.10	0.59	0.55	-0.01	0.952	0.993	(B) White
GAL	11q13.2	0.68	0.68	0.83	0.91	0.01	0.952	0.993	(A) Asian
DDX39A	19p13.12	9.02	9.03	0.42	0.47	-0.00	0.952	0.993	(B) White
UTY	Yq11.221	2.35	2.31	3.84	3.80	0.04	0.952	0.993	(A) Asian
TREM1	6p21.1	6.44	6.42	1.34	1.93	0.01	0.952	0.993	(A) Asian
POLDIP3	22q13.2	11.15	11.15	0.40	0.36	0.00	0.952	0.993	(A) Asian
DCAF12L2	Xq25	0.92	0.93	0.95	0.98	-0.01	0.952	0.993	(B) White
IGF2R	6q25.3	12.31	12.32	0.65	0.68	-0.01	0.952	0.993	(B) White
IL18	11q23.1	7.44	7.43	1.33	1.65	0.01	0.952	0.993	(A) Asian
CLN5	13q22.3	10.54	10.54	0.45	0.52	-0.00	0.952	0.993	(B) White
PLCG2	16q23.3	8.33	8.32	0.74	0.77	0.01	0.952	0.993	(A) Asian
WDR93	15q26.1	4.42	4.41	0.79	0.99	0.01	0.952	0.993	(A) Asian
WDHD1	14q22.2-q22.3	6.48	6.47	0.62	0.77	0.01	0.952	0.993	(A) Asian
PRKG1	10q11.23-q21.1	5.12	5.13	1.57	1.62	-0.01	0.952	0.993	(B) White
OTUD5	Xp11.23	10.97	10.97	0.24	0.21	0.00	0.952	0.993	(A) Asian
TSPYL1	6q22.1	11.91	11.91	0.34	0.39	0.00	0.952	0.993	(A) Asian
PIP5K1P1	6p24.3	0.95	0.94	0.54	0.56	0.00	0.952	0.993	(A) Asian
ZNF41	Xp11.3	7.59	7.60	0.74	0.61	-0.01	0.952	0.993	(B) White
XIST	Xq13.2	10.64	10.59	5.17	4.91	0.05	0.952	0.993	(A) Asian
RPL18	19q13.33	13.90	13.91	0.62	0.58	-0.01	0.952	0.993	(B) White
NOL3	16q22.1	8.96	8.97	0.50	0.65	-0.00	0.952	0.993	(B) White
ADIRF	10q23.2	10.24	10.25	1.22	1.17	-0.01	0.953	0.993	(B) White
HCAR1	12q24.31	5.43	5.45	1.56	1.61	-0.01	0.953	0.993	(B) White
HCCS	Xp22.2	8.44	8.43	0.32	0.29	0.00	0.953	0.993	(A) Asian
CDC5L	6p21.1	9.76	9.76	0.31	0.31	-0.00	0.953	0.993	(B) White
ZNF416	19q13.43	7.13	7.12	0.32	0.34	0.00	0.953	0.993	(A) Asian
OR1L3	9q33.2	0.02	0.02	0.11	0.11	0.00	0.953	0.993	(A) Asian
C12ORF49	12q24.22	11.08	11.09	0.88	0.88	-0.01	0.953	0.993	(B) White
AREL1	14q24.3	10.11	10.10	0.37	0.33	0.00	0.953	0.993	(A) Asian
RFC1	4p14	10.28	10.28	0.33	0.36	0.00	0.953	0.993	(A) Asian
GAS2L1P2	9q22.33	0.46	0.45	0.65	0.57	0.01	0.953	0.993	(A) Asian
CDK8	13q12.13	6.59	6.60	0.71	0.78	-0.01	0.953	0.993	(B) White
TMEM114	16p13.2	0.51	0.50	0.65	0.70	0.01	0.953	0.993	(A) Asian
SPTLC1	9q22.31	10.93	10.92	0.28	0.33	0.00	0.953	0.993	(A) Asian
FOXK2	17q25.3	10.52	10.51	0.21	0.19	0.00	0.953	0.993	(A) Asian
CYHR1	8q24.3	9.93	9.94	0.45	0.47	-0.00	0.953	0.993	(B) White
PIFO	1p13.2	8.63	8.64	0.68	0.57	-0.01	0.953	0.993	(B) White
